nome_popular,numero,familia,nome_cientifico,este,endereco,norte,decreto,microregiao,rpa,identifica,observacao,latitude,longitude
Jaqueira,30,Moraceae,Artocarpus heterophylla  Lam.,28.951.200.000.000.000,"Rua Astronauta Neil Armstrong, 42 ? Tamarineira",911.193.800.000.000.000,11.379/79,3.1,3,28,,-8.029615,-34.909864
Mangueira,31,Anacardiaceae,Mangifera indica L.,28.949.300.000.000.000,Rua Astronauta Neil Armstrong - Casa Amarela,911.189.500.000.000.000,11.379/79,3.1,3,29,,-8.030003,-34.910039
Mangueira,32,Anacardiaceae,Mangifera indica L.,28.950.000.000.000.000,"Rua Astronauta Neil Armstrong, 42 ? Tamarineira",911.191.600.000.000.000,11.379/79,3.1,3,30,,-8.029813,-34.909974
Barriguda,34,Bombacaceae,Ceiba pentandra (L.) Gaertn,28.781.500.000.000.000,"Av. 17 de agosto, 2388 ? Casa Forte",911.204.800.000.000.000,18021/98,3.1,3,31,,-8.028549,-34.925252
Barriguda,35,Bombacaceae,Ceiba pentandra (L.) Gaertn,28.460.400.000.000.000,"Av. Acadêmico Helio Ramos, s/n ? Cidade Universitária - Jardim Interno do Centro de Tec. e Geo. da UFPE",910.932.900.000.000.000,18.189/99,4.3,4,32,,-8.052992,-34.954493
Baobá,36,Bombacaceae,Adansonia digitata L.,28.499.700.000.000.000,Centro de Ciências Aplicadas da UFPE ? Cidade Universitária,910.980.500.000.000.000,18.862/01,4.3,4,33,,-8.048706,-34.950907
Baobá,37,Bombacaceae,Adansonia digitata L.,29.144.300.000.000.000,Girador atrás do Mercado da Encruzilhada ? Encruzilhada,911.121.500.000.000.000,18.862/01,2.1,2,34,,-8.036232,-34.89238
Baobá,38,Bombacaceae,Adansonia digitata L.,29.011.700.000.000.000,Parque da Jaqueira - Jaqueira,911.112.600.000.000.000,18.862/01,3.1,3,35,,-8.036981,-34.904411
Sapotizeiro,39,Sapotaceae,Achas sapota L.,29.030.300.000.000.000,"Rua Abdias de Carvalho, s/n ? Ilha do Retiro - SPORT Club do Recife",910.837.000.000.000.000,19.028/01,4.1,4,36,,-8.061905,-34.90284
Mangueira,40,Anacardiaceae,Mangifera indica L.,28.819.000.000.000.000,"Rua Joaquim Xavier de Andrade, 151 ? Poço da Panela",911.083.600.000.000.000,19.237/02,3.1,3,37,,-8.039522,-34.921902
Mangueira,41,Anacardiaceae,Mangifera indica L.,28.820.500.000.000.000,"Rua Joaquim Xavier de Andrade, 117 ? Poço da Panela",911.083.700.000.000.000,19.237/02,3.1,3,38,,-8.039513,-34.921766
Cajazeira,42,Anacardiaceae,Spondias mombin L.,28.819.800.000.000.000,"Rua Joaquim Xavier de Andrade, 136 ? Poço da Panela",911.083.200.000.000.000,19.237/02,3.1,3,39,,-8.039558,-34.921829
Baobá,43,Bombacaceae,Adansonia digitata L.,29.251.500.000.000.000,Rua Princesa Isabel ? Praça Adolfo Cirne ? Boa Vista,910.881.400.000.000.000,20.041/03,1.2,1,40,,-8.057983,-34.882757
Jaqueira,44,Moraceae,Artocarpus heterophylla Lam.,29.001.400.000.000.000,Parque da Jaqueira - Jaqueira,911.107.100.000.000.000,20.438/04,3.1,3,41,,-8.037474,-34.905348
Pau-de-jangada,45,Tiliaceae,Apeiba tibourbou Aubl.,28.851.700.000.000.000,Parque de Santana - Santana,911.060.600.000.000.000,20.438/04,3.1,3,42,,-8.041615,-34.918946
Gameleira,46,Moraceae,Fícus sp.,29.029.200.000.000.000,"Rua Mamede Coelho, 231 - Dois Unidos - Terreiro Ilê Oba Okoloyiá",911.481.100.000.000.000,24.342/09,2.3,2,43,,-8.003674,-34.902669
Baobá,47,Bombacaceae,Adansonia digitata L.,28.589.700.000.000.000,"Praça Dr. Arnaldo Assunção, próxima ao terminal - Engenho do Meio",910.890.000.000.000.000,24.612/09,4.2,4,44,,-8.056926,-34.942783
Pau-Brasil,48,Caesalpiniaceae,Caesalpinia echinata - Lam,29.139.200.000.000.000,"Av. Agamenon Magalhães, 2978 ? Espinheiro - CREA-PE",910.991.700.000.000.000,24.757/09,3.1,3,45,,-8.047965,-34.892897
Baobá,49,Bombacaceae,Adansonia digitata L.,28.594.600.000.000.000,"Av. Paulo Afonso, s/n - Barro - Escola Olindina Alves Semente",910.541.600.000.000.000,24.758/09,5.3,5,46,,-8.088424,-34.942489
Guapuruvu,50,Fabaceae,Shizolobium parahyba (Vell.) S.F.Blake,28.860.500.000.000.000,"Av. Dom Manoel de Medeiros, s/n - Dois Irmãos - Fundos do prédio de Tecnologia Rural da UFRPE",911.372.100.000.000.000,25.691/2011,3.1,3,47,,-8.013458,-34.918015
Pau Mulato,51,Rabiaceae,Calicophyllum parahyba (Benth.) Hool. F. Ex K. Shum,28.554.500.000.000.000,"Av. Dom Manoel de Medeiros, s/n - Dois Irmãos - Fundos do prédio de Tecnologia Rural da UFRPE",911.336.500.000.000.000,25.691/2011,3.1,3,48,,-8.016546,-34.945784
Macaibeira,52,Arecaceae,Acroconomia intumescens Drude,28.555.200.000.000.000,"Confluência das ruas Henrique Machado com Ambrosina Carneiro, em frente a casa dos Humildes, s/n - Santana, Casa Forte",911.332.300.000.000.000,25.689/2011,3.1,3,49,,-8.016926,-34.945722
Cajueiro,53,Anacardiaceae,Anacardium occidentale L.,28.523.700.000.000.000,"Av. Dom Manoel de Medeiros, s/n - Dois Irmãos - Pátio interno do estacionamento do prédio de Veterinária da UFRPE",911.361.700.000.000.000,25.690/2011,3.1,3,50,,-8.014254,-34.948566

